Country Code,year,ineq_econ,ineq_soc,ineq_phy,overall_score
BRB,2024,-0.020198358969444132,0.42231153514997155,0.0,0.38520246067821057
BRN,2022,-0.20822480516331157,-0.09716744953579792,-0.3322865236309096,0.26035057557720087
BRN,2023,-0.21748734910078116,-0.0052876993116825425,-0.32368737488525773,0.26459645932539677
BRN,2024,-0.18543621388117051,-0.3379588210107786,0.0,0.42685630487567977
BTN,2022,-0.10667562611346036,-0.33843064301852294,-0.12423595889758345,0.37369384767315994
BTN,2023,-0.23845412185723633,0.20154015406739678,-0.12513540276272114,0.370871168192918
BTN,2024,-0.300803445382631,-0.0850944082647521,0.0,0.43378522145215903
BWA,2022,0.383827717968054,0.1892016215468655,-0.12036586528100642,0.4722903120976244
BWA,2023,0.4177178383210843,0.1311086280549556,-0.12086506417991788,0.47529022954822914
BWA,2024,0.7534762048377627,0.5096149881604265,0.0,0.42503885055916313
CAF,2022,0.3199531671436618,0.20344617902484077,1.0769405612791298,0.6787069957091524
CAF,2023,0.32024697763887966,0.16919124765331703,0.6378084585748597,0.6427881684357314
CAF,2024,0.3004247877973373,0.23756246007690554,0.0,0.4187105161227661
CAN,2022,0.19269686810921674,0.729631317713121,-0.017751769536993648,0.06961138659951162
CAN,2023,0.19858002151773274,0.7148941637953466,0.1315977767400533,0.07034737352231103
CAN,2024,0.27911440105006746,0.7774364110327024,0.0,0.39493726128038614
CHE,2022,0.1009482653163192,0.6905386425612162,0.08569748323990213,0.024292699481074504
CHE,2023,0.09256422127022708,0.7605984053032713,0.05767859073587437,0.02419972462259965
CHE,2024,0.19088501158381405,0.848796662972403,0.0,0.39314912595737606
CHI,2022,-0.15585089025024476,-0.16593220838350417,-0.5613718509349122,0.31485237067099564
CHI,2023,-0.16140547962250576,-0.17101432290702817,-0.5601695661303812,0.31454729924242425
CHI,2024,-0.10210696444972744,-1.054767670772872,0.0,0.422067831709957
CHL,2022,-0.17857207314988696,0.31571110818148607,-0.13513569381021248,0.1575219501266278
CHL,2023,-0.12659386703729966,0.3412424444003178,-0.05973168942342258,0.16345552330308574
CHL,2024,-0.18535402145474547,0.33361450273830723,0.0,0.3997804581529581
CHN,2022,0.8301758419914067,0.18400878417553557,-0.03299341657673458,0.1683850406121657
CHN,2023,0.830861840810843,0.20222461419810117,-0.04197585078930348,0.15272292054473305
CHN,2024,1.6570996306966221,0.19925371153219534,0.0,0.3888709596861475
CIV,2022,-0.07231267115424972,-0.05461981751238401,0.25694222459962557,0.6104034581529577
CIV,2023,-0.021298014389246032,0.12510606885273387,0.3151123355060962,0.6059401161685536
CIV,2024,-0.285866683233282,-0.0908722792487206,0.0,0.4311317420634921
CMR,2022,0.0025987298772773186,-0.1790207606419328,0.15920308869576005,0.5611530135003882
CMR,2023,-0.0011983124013139228,-0.18083851194477663,0.1512516850918798,0.5625311906912528
CMR,2024,-0.3182374266003105,0.27706995787286604,0.0,0.40473977159645896
COD,2022,0.09114647571094057,0.024326747801638016,0.5101635894269682,0.6056117305194799
COD,2023,0.08696869715054054,0.12536547470947454,0.5024923193852786,0.6024512880591623
COD,2024,-0.22113949710915914,0.5195693197989785,0.0,0.41780010326479067
COG,2022,0.32691625620956555,-0.20442512575725397,0.16183521141474114,0.5677012607808858
COG,2023,0.3224518663577863,-0.26332697429378743,0.15916651022527753,0.5701067767440896
COG,2024,0.3715384086324343,0.38176368008976297,0.0,0.41097422779304005
COL,2022,0.10538873859375024,0.3335964850918191,0.01960874853584517,0.39219016667360407
COL,2023,0.08127431179799674,0.26830067380643696,0.043528659065460704,0.35768517635836405
COL,2024,0.09475246734999551,0.27080694605154093,0.0,0.40823678610278624
